,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
SELENON,0.2,0.3,0.04,0.26,0.04,0.02,0.16,0.14,0.18,0.25,0.13,0.09,0.13
SELENOO,0.22,0.28,0.08,0.31,0.13,0.11,0.2,0.29,0.2,0.13,0.2,0.2,0.19
SELENOP,0.64,0.43,0.04,0.22,0.04,0.06,0.61,0.44,0.73,0.59,0.59,0.49,0.58
SELENOS,0.9,0.92,0.42,0.85,0.74,0.62,0.4,0.42,0.51,0.36,0.37,0.41,0.44
SELENOT,0.34,0.41,0.63,0.5,0.7,0.63,0.46,0.42,0.48,0.38,0.4,0.35,0.37
SELENOV,0.02,0.15,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
SELENOW,0.88,0.93,0.96,0.94,0.62,0.87,0.81,0.8,0.89,0.64,0.79,0.83,0.82
SELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01
SELP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
SELPLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEM1,1.0,0.99,0.83,0.99,0.95,0.94,0.95,0.92,0.95,0.85,0.89,0.91,0.92
SEMA3A,0.09,0.08,0.09,0.07,0.11,0.27,0.14,0.06,0.08,0.07,0.11,0.11,0.06
SEMA3B,0.06,0.06,0.04,0.14,0.05,0.05,0.41,0.53,0.12,0.14,0.12,0.08,0.13
SEMA3B-AS1,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01
SEMA3C,0.04,0.01,0.04,0.03,0.01,0.01,0.57,0.19,0.16,0.31,0.25,0.13,0.1
SEMA3D,0.01,0.0,0.02,0.01,0.02,0.02,0.28,0.14,0.01,0.01,0.01,0.03,0.03
SEMA3E,0.02,0.01,0.24,0.06,0.01,0.08,0.01,0.0,0.01,0.0,0.0,0.0,0.0
SEMA3F,0.02,0.03,0.0,0.03,0.0,0.01,0.19,0.06,0.12,0.05,0.03,0.02,0.03
SEMA3F-AS1,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0
SEMA3G,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0
SEMA4A,0.09,0.13,0.0,0.06,0.04,0.01,0.04,0.04,0.01,0.0,0.01,0.01,0.01
SEMA4B,0.06,0.09,0.06,0.06,0.04,0.05,0.08,0.09,0.14,0.17,0.18,0.12,0.18
SEMA4C,0.08,0.11,0.0,0.08,0.03,0.03,0.26,0.16,0.22,0.14,0.11,0.11,0.12
SEMA4D,0.26,0.24,0.31,0.24,0.16,0.23,0.11,0.09,0.05,0.1,0.07,0.06,0.1
SEMA4F,0.38,0.26,0.14,0.55,0.45,0.32,0.06,0.06,0.05,0.04,0.02,0.05,0.05
SEMA4G,0.06,0.13,0.01,0.1,0.03,0.04,0.16,0.28,0.25,0.3,0.17,0.26,0.3
